,property,propertyLabel
238,http://dbpedia.org/property/number,number
239,http://dbpedia.org/property/occupation,occupation
240,http://dbpedia.org/property/onm,ONM
241,http://dbpedia.org/property/origin,origin
242,http://dbpedia.org/property/otherNames,other names
243,http://dbpedia.org/property/rev3score,rev3score
244,http://dbpedia.org/property/rev4score,rev4score
245,http://dbpedia.org/property/runtime,runtime
246,http://dbpedia.org/property/sport,sport
247,http://dbpedia.org/property/spouse,spouse
248,http://dbpedia.org/property/successor,successor
249,http://dbpedia.org/property/teams,teams
250,http://dbpedia.org/property/tradeName,trade name
251,http://dbpedia.org/property/voices,voices
252,http://dbpedia.org/property/website,website
253,http://dbpedia.org/property/yearsActive,years active
254,http://dbpedia.org/property/yearsactive,yearsactive
255,http://dbpedia.org/property/monthPlayed,month played
256,http://dbpedia.org/property/race,Race
257,http://dbpedia.org/property/establishment,establishment
258,http://dbpedia.org/property/mapcaption,mapcaption
259,http://dbpedia.org/property/agencyname,agencyname
260,http://dbpedia.org/property/airbases,airbases
261,http://dbpedia.org/property/aircraft,aircraft
262,http://dbpedia.org/property/animals,animals
263,http://dbpedia.org/property/badge,Badge
264,http://dbpedia.org/property/badgecaption,badgecaption
265,http://dbpedia.org/property/chief1name,chief1name
266,http://dbpedia.org/property/chief1position,chief1position
267,http://dbpedia.org/property/countryabbr,countryabbr
268,http://dbpedia.org/property/divname,divname
269,http://dbpedia.org/property/divtype,divtype
270,http://dbpedia.org/property/electeetype,electeetype
271,http://dbpedia.org/property/fightingStyle,fighting style
272,http://dbpedia.org/property/flagcaption,flagcaption
273,http://dbpedia.org/property/governingbody,governingbody
274,http://dbpedia.org/property/legaljuris,legaljuris
275,http://dbpedia.org/property/logocaption,logocaption
276,http://dbpedia.org/property/minister1name,minister1name
277,http://dbpedia.org/property/minister1pfo,minister1pfo
278,http://dbpedia.org/property/minister2name,minister2name
279,http://dbpedia.org/property/minister2pfo,minister2pfo
280,http://dbpedia.org/property/minister3name,minister3name
281,http://dbpedia.org/property/mottotranslated,mottotranslated
282,http://dbpedia.org/property/officename,officename
283,http://dbpedia.org/property/officetype,officetype
284,http://dbpedia.org/property/overviewbody,overviewbody
285,http://dbpedia.org/property/overviewtype,overviewtype
286,http://dbpedia.org/property/patch,patch
287,http://dbpedia.org/property/patchcaption,patchcaption
288,http://dbpedia.org/property/pcgn,PCGN
289,http://dbpedia.org/property/portrayer,portrayer
290,http://dbpedia.org/ontology/portrayer,portrayer
291,http://dbpedia.org/ontology/firstAppearance,first appearance
292,http://dbpedia.org/ontology/gender,gender
293,http://dbpedia.org/ontology/Work/runtime,runtime (m)
294,http://dbpedia.org/ontology/activeYearsStartYear,active years start year
295,http://dbpedia.org/ontology/alias,alias
296,http://dbpedia.org/ontology/birthName,birth name
297,http://dbpedia.org/ontology/birthYear,birth year
298,http://dbpedia.org/ontology/runtime,runtime (s)
299,http://dbpedia.org/ontology/almaMater,alma mater
300,http://dbpedia.org/ontology/director,film director
301,http://dbpedia.org/ontology/distributor,distributor
302,http://dbpedia.org/ontology/education,education
303,http://dbpedia.org/ontology/occupation,occupation
304,http://dbpedia.org/ontology/spouse,spouse
305,http://dbpedia.org/ontology/voice,voice
306,http://schema.org/sameAs,
307,http://dbpedia.org/ontology/wikiPageDisambiguates,Wikipage disambiguates
308,http://dbpedia.org/property/tableno,tableno
309,http://dbpedia.org/property/distribution,distribution
310,http://dbpedia.org/property/i,I
311,http://dbpedia.org/property/imprints,imprints
312,http://dbpedia.org/property/publications,publications
313,http://dbpedia.org/property/associatedActs,associated acts
314,http://dbpedia.org/property/bot,bot
315,http://dbpedia.org/property/captionAlign,caption align
316,http://dbpedia.org/property/date,date
317,http://dbpedia.org/property/direction,direction
318,http://dbpedia.org/property/fixAttempted,fix-attempted
319,http://dbpedia.org/property/group,group
320,http://dbpedia.org/property/header,header
321,http://dbpedia.org/property/instrument,instrument
322,http://dbpedia.org/property/num,num
323,http://dbpedia.org/property/page,page
324,http://dbpedia.org/property/players,players
